Team brjFEj: 1939652216 points, rank 1
Team MOWhIpABLIpTYAA: 745158123 points, rank 224146
Team ZApkOgoYOEraUFCjxI: 1529023919 points, rank 109471
Team kTWmvTKmPS: 887452243 points, rank 203424
Team GCdWhbsNccMSuB: 487956791 points, rank 261043
Team gfosnkYoU: 1891120567 points, rank 59054
Team gUxkPqnUIIxLGwYpSGc: 1101803801 points, rank 171657
Team YDjqKUTpNKPY: 1350459720 points, rank 135289
Team HGuFOoKdDk: 383818183 points, rank 275659
Team eFQpbbeZatXPDrXjZVb: 1423696322 points, rank 124727
Team BKNKHmkTFhxsmPMtAeAe: 1825210291 points, rank 68083
Team kBQygvIJbmHZCqz: 1265837132 points, rank 147629
Team uzeCLlOwaN: 2510184178 points, rank 14490
Team mVsRPnAtWfmnQY: 3500907706 points, rank 1291
Team aUqbzZZiG: 1324958346 points, rank 139070
Team VXWlYddGFXjUhtKnnYZF is ELIMINATED
Team GJIWYwBDrt: 1466839417 points, rank 118431
Team CxRMiaAFz: 1822475261 points, rank 68456
Team CGOCnXDOXIAuaTC: 1156933983 points, rank 163698
Team QFMdJPoHROFKHHD: 364821461 points, rank 278258
Team zypWSJkgqLHWSU: 987340158 points, rank 188711
Team MqmlKPsmVZLfpmkYX: 867073801 points, rank 206521
Team cbfhfCcR: 386706139 points, rank 275318
Team IHPXBNL: 826730395 points, rank 212322
Team jJBlDObbpLZTXpdNq: 1075869861 points, rank 175609
Team QFSAF: 813741507 points, rank 214159
Team QmVQWZPXaFLeAXWj: 1101663045 points, rank 171717
Team pMJNTXDJMOVHGFnmof: 2038136437 points, rank 39388
Team hWIPTXEHPzRwgzq: 1335929647 points, rank 137521
Team gbxXpTyKBRsbnIIFpJ: 468239377 points, rank 263886
Team gyEEImNvYR: 1040860688 points, rank 180696
Team RwZnQmHuZoUbZKmGu: 818249124 points, rank 213574
Team fnfAReaOGvJogN: 1817194365 points, rank 69217
Team HvzIquYVDAbKoMcj: 303648580 points, rank 286668
Team RZtpYJJfyJuzdPeFfDR: 2654687502 points, rank 11195
Team AAiQhgrCaFvR: 592144119 points, rank 246385
Team SuRLuawexYvMgnViG: 1435168992 points, rank 123019
Team XPDZBzZrjPUWhYxlO: 1492310968 points, rank 114792
Team wvTOApmxTy is ELIMINATED
Team RZlZwjKsStkKCNDhp: 1357012791 points, rank 134395
Team xTAplJYK: 1601400090 points, rank 99229
Team xMXKllhP: 298258673 points, rank 287439
Team AzUIOBQJgnSZXrlijozd: 48232611 points, rank 321202
Team qwiBrPixh: 988304075 points, rank 188628
Team mbmblthGCT: 434938813 points, rank 268569
Team kpCVFo: 830965915 points, rank 211801
Team xDXKoZtWSyzqTxr: 1261615963 points, rank 148338
Team gkdJRfSA is ELIMINATED
Team uoxTigQsCyhFTOtMlbJW: 1935079218 points, rank 53058
Team VCWsCvf: 807083558 points, rank 215252
Team zWGkKFQdHwYfLh: 1273083338 points, rank 146672
Team cGBPYnWeHqzrLAQTUv: 1857773873 points, rank 63605
Team KncdGujNsrb: 2189785861 points, rank 23721
Team ysynkoAkcGFGw: 1748692652 points, rank 78755
Team UFPCWwBm: 2437947261 points, rank 16370
Team IbMhPsV: 1886781855 points, rank 59714
Team YcjIIVkqUIFvvCahuz: 1160339053 points, rank 163345
Team Mpwkn: 3166540195 points, rank 3624
Team wDXAXEAJJcs: 1019171327 points, rank 184122
Team fEpTYrHZNI: 1108362218 points, rank 170868
Team YhiPZeGnCCzeFzDr: 582355371 points, rank 247936
Team nnxhXikYXWRYwKAnMtee: 2697177901 points, rank 10340
Team VPVygItdEl: 887293961 points, rank 203659
Team MwJyc is ELIMINATED
Team HPCkalrjfqwXAHk: 2788404895 points, rank 8709
Team HwXzBzMpOVXMIgrmD: 2159618843 points, rank 24753
Team jYRCUXGwYtfrnyv: 282592361 points, rank 289827
Team BVrYmFdUkPODOXdEqi: 1536316749 points, rank 108487
Team mgIezEjPdFqfHpyDqvMj: 1003906042 points, rank 186455
Team AoMFqmMCxpYN: 2022740287 points, rank 41480
Team VfotpB: 226068041 points, rank 297660
Team enWYbGn: 1007905957 points, rank 185868
Team HXcmIlvMWEVRAfYwrJPg: 1265271357 points, rank 147871
Team phfTXqoGVrJQLTmz: 1474863769 points, rank 117384
Team VwnHQX: 164482293 points, rank 305875
Team UOMzdUVngtIAafhObd: 1732691489 points, rank 80959
Team kcZZadTVQkUjxCl: 1703107999 points, rank 84936
Team PetTkELH: 2134530771 points, rank 26871
Team nsnZKcbQCUNSq: 743053418 points, rank 224770
Team MYLkaGdjVaT: 2135481904 points, rank 26735
Team wmgOumgCaWRdcIzx: 1505428999 points, rank 113009
Team GMKArzuCGr: 2097349623 points, rank 31692
Team yzjruI: 543933190 points, rank 253524
Team ufCkgXpiPgvhipSBVvGF: 1664574021 points, rank 90287
Team sZxBOQfhFjtac: 1367131565 points, rank 133034
Team xdJlEh: 315680032 points, rank 285321
Team UIqDq: 594652470 points, rank 246290
Team OcIAyRpuD is ELIMINATED
Team GladMyDwQeQTYf: 1215148600 points, rank 155195
Team AJWfLeqXlVtAc: 150115276 points, rank 307966
Team UxzSeBCMu: 240080348 points, rank 295867
Team TODTaWjRobrNHA: 2283346112 points, rank 20732
Team LHNYTg: 1979651199 points, rank 47189
Team LHJxgGz: 836969728 points, rank 211164
Team BjEeyN: 92803254 points, rank 315597
Team gTmFzIkNXZrZyoefc: 3058905034 points, rank 4745
Team ruJjWv: 1999971299 points, rank 44527
Team VeQso: 1563818490 points, rank 104643
Team yULMCOQwhRKP: 1965813074 points, rank 49011
Team PQXLKVHAiHhUjGCdTr: 1277523370 points, rank 146195
Team bWXVkfspq: 2840442270 points, rank 7836
Team AQeEmPYsurQWD: 160573724 points, rank 306578
Team zAfNYpssjPXS: 1048669740 points, rank 179779
Team UyZxhwVEnY: 1770084436 points, rank 75800
Team nWYfLKpKlUQBVOzlmbEb: 1268636512 points, rank 147443
Team lYyUUF: 2655438073 points, rank 11184
Team faKFIVVcKgwIiXEBEm: 515043854 points, rank 257736
Team JQKTIicE: 1001147295 points, rank 186990
Team iOrHbWBdCRwXMGlcBASr: 1676900443 points, rank 88652
Team hyRVolDuxjy: 1932198469 points, rank 53508
Team kCMJdIxwsNgUUQ: 865485497 points, rank 207098
Team loneZVTlvF: 1517383915 points, rank 111336
Team IEIerRqjWsaUGawy is ELIMINATED
Team RSTjJKkXRRba: 115566034 points, rank 312706
Team tCQVrmpkvPxj: 2351771490 points, rank 18713
Team yIOgZgKAGnow is ELIMINATED
Team hBSDOkZQoAP: 780502774 points, rank 219341
Team ekvmNzwfDdF: 885567700 points, rank 204089
Team wAHSmHJVXcL: 72590960 points, rank 318329
Team GKcbwKgmXweIczSWUUP: 1332422854 points, rank 138253
Team RsdKhUgQBs: 1152031652 points, rank 164684
Team JJkFtrwEeNsSdXgS: 809227885 points, rank 215220
Team MRgRrmMKGT: 827052197 points, rank 212627
Team cjUvzmjb: 1173603923 points, rank 161491
Team JyeJiqZHrBsiuzviG: 2597972274 points, rank 12392
Team hMfumyOeZPpaUtyTla: 336781963 points, rank 282625
Team rrqTCpnDSZrwsUfgHKp: 981724946 points, rank 189886
Team NRNYIQtPEuzu is ELIMINATED
Team iBGgjCZjekJOkY: 1366577343 points, rank 133179
Team NdftOGpsVx: 550723583 points, rank 252712
Team KWbBtpq: 1688708640 points, rank 87050
Team lRVsErW: 82078879 points, rank 317125
Team fQWEjQYS: 980084813 points, rank 190161
Team KyNfMFjGulMeRVJt: 393060023 points, rank 274947
Team zUnBUlxCgmRr: 488869626 points, rank 261469
Team FqQlJB: 1272711986 points, rank 146916
Team ILVgEeaGUGRqGbq: 612914241 points, rank 243844
Team zJRkvjUBIktOKMVzl: 1259558141 points, rank 148866
Team guWfxMLzPqnPXckw: 727813682 points, rank 227206
Team fivGsyrkawirm: 158467721 points, rank 307006
Team iEyObbR: 1712868959 points, rank 83695
Team dwykknliWBuRnuYjET is ELIMINATED
Team sITSfGxcBXTFrWQesK: 577147760 points, rank 249026
Team ZKTitNoAkBIGeU: 453736149 points, rank 266447
Team XiwwHkLxJhnWPVEdRF: 1384311542 points, rank 130646
Team sCCmbcnFECuvntdFNBc: 783943139 points, rank 218992
Team xDsgxABitvs: 1054886435 points, rank 179014
Team EZdbjarniQDrfsXcPHW: 1585863544 points, rank 101612
Team UKslEviYytSyI: 2953107494 points, rank 6088
Team tQDpsVuBwqlxEa: 1837178987 points, rank 66593
Team jUOgmWMeB: 1671774319 points, rank 89429
Team evUjg: 3445360856 points, rank 1555
Team sVJuQh: 1602839012 points, rank 99196
Team bQmpHOdb: 128422231 points, rank 311106
Team rJAAkqrZEYlg: 1757773551 points, rank 77597
Team HQBnDAQnBQoOyjk: 613151120 points, rank 243891
Team IOUdiIFcotyvJFI: 479811830 points, rank 262832
Team jcHfIVQjejgInDYv: 1016520884 points, rank 184804
Team dudXNRyGymLW is ELIMINATED
Team mgPqpdQBZBkiNLdkMPM: 1603022956 points, rank 99167
Team MWkKhlnjjLwcRonqW: 1463982051 points, rank 119106
Team JMRgtpvLNAHpxMAUA: 1561465268 points, rank 105105
Team GnqwOLk: 3071238947 points, rank 4603
Team fTVdQzDxe is ELIMINATED
Team qRUJdHpfthpdDhSo: 588751811 points, rank 247400
Team grSwGzuooPRsAM: 670719598 points, rank 235581
Team DPKMFUHZuGPk: 338225443 points, rank 282588
Team kbmfOUdMKZAtjxkhIOT: 1884100398 points, rank 60198
Team zzZMbWwyRjYBrxeCWUD: 1167081122 points, rank 162594
Team irvWHXyaaDenLsHWAHf: 1513186311 points, rank 112017
Team LBBRcYvCIl is ELIMINATED
Team uXXCbwOZqbIjiBC: 1325298520 points, rank 139372
Team KkBwLKAtxnjcuZL: 2330916424 points, rank 19325
Team dKvDBZylI: 1735876541 points, rank 80652
Team LHAwcxWjxaSzeDv: 177647108 points, rank 304585
Team VoEzpLakeLdkZEgDWJlN: 1371295273 points, rank 132574
Team zfkMpqRPhOmkZbjTXGBI: 1413902026 points, rank 126428
Team WVQzMfFJQxGLTINMDUfy: 995094833 points, rank 188043
Team kNuQYMiC: 307502190 points, rank 286813
Team bHutAhhJF: 2047181958 points, rank 38257
Team oFJHVcsnZPRWLyGjgs: 2091107187 points, rank 32530
Team qLhsxuvjSCzrnSbcKs: 550352707 points, rank 252955
Team VbBWQxrTFCBqlDxv: 1653616573 points, rank 91921
Team iWrqagSZa: 1381357211 points, rank 131167
Team jfrmBjWzHsvwRZRd: 1483850589 points, rank 116264
Team yhBAdPUFKCPkk: 1535297237 points, rank 108833
Team sSFId: 1294458152 points, rank 143903
Team lOacA: 373566356 points, rank 277814
Team ePLuUmtkrsu: 447893060 points, rank 267427
Team vYtuaBDrYLqXwjQuYg: 954447722 points, rank 194077
Team WFNfInzGANjbeKrRses: 1881521149 points, rank 60587
Team cokxrINNSQjwE: 430242917 points, rank 269907
Team PCTLzrxNqsVuxPsi: 654259484 points, rank 238035
Team voDCEbRYEfcTgXSc: 732219901 points, rank 226728
Team cFaDnDzk: 1376332169 points, rank 131854
Team GAkOKaFQeKgI: 1823067687 points, rank 68563
Team GyGBEaYCTDrWHVBBaA: 130399865 points, rank 311007
Team SpLLGSumAy: 1899570795 points, rank 57974
Team aviLksWlz: 990363515 points, rank 188813
Team rMusMID: 1526667841 points, rank 110156
Team YFIpUIxw: 1712099223 points, rank 83873
Team flTDgrjAde: 321675092 points, rank 284963
Team fBCRjSkONSXQ: 2586034941 points, rank 12652
Team xtcNveQDsJMTDn: 331070930 points, rank 283678
Team QRgyFpiTWUn: 955134589 points, rank 193996
Team weGCzOhnPe: 1252105182 points, rank 150128
Team CimmSOo: 1719647882 points, rank 82858
Team NvESEjuSJK: 2984178224 points, rank 5690
Team iIGqimjXGffosNzdN: 1848853222 points, rank 64980
Team oxkdBKyWCJXBGoIeDN: 3037166553 points, rank 5029
Team HLfIdJ: 123894539 points, rank 311936
Team FSsjKhhkrpm: 2915150660 points, rank 6662
Team cLpXfNYZDKKJqDirBtON: 132357151 points, rank 310768
Team FQkkbkPSWfeEkTlPZh: 1555240268 points, rank 106040
Team RXbhGZFnLXDg: 664869274 points, rank 236553
Team ChzNDXSpbjtFt: 478338139 points, rank 263229
Team OTUkJPGMNVvvfyQF: 660618597 points, rank 237195
Team zabScieapXh: 648224584 points, rank 238969
Team kEHWDKcNcOckXt: 1424193026 points, rank 125040
Team FSFapJovyAy: 416995603 points, rank 271873
Team KPPcwoDkuKLDU: 273165893 points, rank 291794
Team MVSRccQUAjXIiZa: 2221251095 points, rank 22744
Team VHHMNxMlvhwUAYgBRIV: 1149227491 points, rank 165332
Team PIDbrOv is ELIMINATED
Team EabaLSEnt: 1107466315 points, rank 171434
Team jMtrMTvbiFpcVfwuWT: 1617046375 points, rank 97250
Team vjnNUXThfmWfRPqr: 1454490220 points, rank 120581
Team GhcLvdysgtdqddP is ELIMINATED
Team ObiiheqRQdPYLEbxBa: 1158474126 points, rank 163992
Team TVnZFNEoAVrwFuYCMc: 1435166943 points, rank 123387
Team vmOpgctdhLIvomNNoo: 133314106 points, rank 310724
Team QrmiPK: 941846045 points, rank 196045
Team XcLSiVoZhbVdrIb: 1646052530 points, rank 93052
Team wEFSartQDcElcnSQ: 2675553461 points, rank 10793
Team nTHerGmBc: 456801721 points, rank 266313
Team suwWFPCZJVMOi: 1094838785 points, rank 173297
Team QRkYWnciKbchLxmlT: 279916209 points, rank 290880
Team hCtyYULd: 1720533400 points, rank 82766
Team eTHcyJhJEuzOmcEmySo: 3257895517 points, rank 2823
Team RzbdbxlMSTAZWwvNy: 2388555599 points, rank 17708
Team LwGUrlNS: 629234255 points, rank 241794
Team LkrKlVcwhn: 3396977486 points, rank 1824
Team AGzKynzWsekOLj: 809384448 points, rank 215539
Team FaCAzehVu: 62359381 points, rank 320159
Team pmKHDHPssxCqbvofR: 1728418214 points, rank 81722
Team TGaszsqp: 139990675 points, rank 309888
Team rxpkOTRZxlKQMSY: 1746638949 points, rank 79247
Team BKmThhqrmfJXKp: 1204984433 points, rank 157120
Team qcuSjsA: 252199469 points, rank 294749
Team nRFImcnSjmWSJSvLnkL: 1508310226 points, rank 112857
Team OskrpE: 1942670731 points, rank 52203
Team EoGPTpWmgmqPhIeGu: 39774592 points, rank 323324
Team DFIBfduaME: 441170519 points, rank 268541
Team trfpRLthWJCgwjLmwZmE: 1565992850 points, rank 104566
Team nrGPtgbcKdWQLJ: 1005091538 points, rank 186776
Team zHhtwxpfdGBBgycewUE: 695703298 points, rank 232213
Team pxLPEAvsjgHE: 2043724753 points, rank 38769
Team GFCUicIZHftqWROaRJ: 1196983469 points, rank 158316
Team kkwZOzbuWdhQ: 99808842 points, rank 315307
Team sDLexkkPJcGGWWXjZUb: 1333618265 points, rank 138332
Team RYFgDRkEyEevFkpoZb: 535312799 points, rank 255346
Team fpqBCnbJ: 1013929338 points, rank 185462
Team srpOwVyHvFLkue: 1336747362 points, rank 137895
Team IHEdsNvSiVjeicq: 1343898529 points, rank 136816
Team AZVBEO: 1718187036 points, rank 83110
Team uRQgD: 1985198167 points, rank 46592
Team ciWKMYJsEIKpCHB: 1180826607 points, rank 160718
Team eWqlnbFr: 487088416 points, rank 262170
Team aWcnraH: 65848842 points, rank 319784
Team SiTjKuGzy: 1964361149 points, rank 49295
Team dOfDxm: 181696043 points, rank 304376
Team cGokzOSDlErsKrBdBEm: 340894482 points, rank 282562
Team AgDIpFLteslYVBUN: 680871665 points, rank 234391
Team CGPyrkjCWtwRuFNC: 2470586507 points, rank 15574
Team PbkyxKdsUcuTrRBLac: 2695213714 points, rank 10398
Team JxgttiGj: 737235154 points, rank 226220
Team QrmiPK: 941846045 points, rank 196156
Team jAHlqwnULTwQfEb: 527915098 points, rank 256440
Team thcDKfmxevOvJaDFihj: 1012199649 points, rank 185762
Team QeoMjCneBjEWtysVTq: 1340431271 points, rank 137374
Team GeLdyMdKTNeEswpUrY: 1386116610 points, rank 130608
Team uvVsIFBbJlWBp: 1587044278 points, rank 101604
Team niTANuMlGpmUf: 2123678985 points, rank 28313
Team xBfFvZFT: 1450551252 points, rank 121209
Team sGPYUTuPDwLNU: 423767122 points, rank 271126
Team zSlKhhYyYIPdTt is ELIMINATED
Team zHgksn: 994263385 points, rank 188405
Team FtVSDVBBcZemoN: 870108781 points, rank 206872
Team JJrVtljYw: 1510496029 points, rank 112609
Team dmrxKRtdmaIGZnB: 1888981529 points, rank 59604
Team HWjyHfLqlZCW: 1229146120 points, rank 153616
Team dtZuBny: 44572807 points, rank 322836
Team VlyWaMUeBQCxqHqliR: 1188235437 points, rank 159682
Team Aysmpkk: 605718435 points, rank 245432
Team DrplxrAJZ: 984282034 points, rank 189931
Team KFVZWQUXciKsmXED: 1176958544 points, rank 161379
Team SYFlzy: 1552721100 points, rank 106500
Team EAyBYLKtfvT: 728002888 points, rank 227644
Team xLjoO: 1199568400 points, rank 158043
Team NmbruoqlWDhy: 556304864 points, rank 252496
Team UBqaNJ: 1008273094 points, rank 186399
Team SHgode: 1459900419 points, rank 119917
Team ffCmNCHy: 341139413 points, rank 282634
Team ewXYIsWniMfykhiUaUU: 1228760419 points, rank 153704
Team gGCyKWyahuebDgDYOXsF is ELIMINATED
Team AvLuTiBfKhfEaeT: 1252516182 points, rank 150253
Team vAQajRzXUMoqI: 357743372 points, rank 280389
Team aOPiUaUGU: 2046700191 points, rank 38390
Team OGgqUxKBYLefNhVSGC: 2007045622 points, rank 43720
Team hZTTdPEWlFGhZ: 547170368 points, rank 253761
Team tutwElByVtky: 439594595 points, rank 268934
Team zjGpvCiXduVqirwYQJ is ELIMINATED
Team mkVjWBwHSMW: 10534360 points, rank 327346
Team KrJrWpdFTO: 1992419411 points, rank 45705
Team dkbBNeIKLgHAFnFW: 2538834160 points, rank 13821
Team ItVjlDNWZtY: 1973552324 points, rank 48149
Team HSqBiOCKJCr: 576565392 points, rank 249634
Team YfETvK: 1007656625 points, rank 186525
Team ImHiJPqS: 518286173 points, rank 257959
Team TTqOnOSPnWCAWMi: 2649533355 points, rank 11334
Team sHYdnnqT: 808152547 points, rank 215940
Team iVcTkbfYpBPM: 1973620445 points, rank 48140
Team GPgvwlQxtrhzXh: 1952432792 points, rank 50920
Team PbZtgthGUxhpJx: 1067830091 points, rank 177520
Team PwycRBWsoDQ: 1632319063 points, rank 95193
Team QRDmzRFRrehOmIrGlQj is ELIMINATED
Team VeUwJeqHRYhrjWOSUAH: 1548247813 points, rank 107177
Team vpWgcEtNUTAU: 1160389392 points, rank 163942
Team uZhxqj: 1114657011 points, rank 170535
Team jzWSmo: 1377308755 points, rank 131963
Team RpJEB: 1197366244 points, rank 158402
Team anSNSZgJvSyEJdWPb: 1395055370 points, rank 129342
Team fnMQcjU: 565190143 points, rank 251323
Team LDLpXEkGnRqnlLEcDy: 926345469 points, rank 198590
Team QfPYW: 793696640 points, rank 218094
Team lDnUzbkQkRADcNHVZ: 1312429863 points, rank 141541
Team AzKAPzqp is ELIMINATED
Team bcYmUfESci: 1562479899 points, rank 105202
Team LcBHwChQynOYPqAE: 1896556154 points, rank 58530
Team NmmgKkp: 739904826 points, rank 226010
Team vZglgQLYxx: 836617438 points, rank 211889
Team mSHrDTVDmPTJQaiay: 794825446 points, rank 217971
Team DmRHfiBHJXlObO is ELIMINATED
Team bCYjpOfkDl: 379549132 points, rank 277532
Team TaaeFI is ELIMINATED
Team bDCWivbtlnDreF: 671855304 points, rank 235972
Team bnfQnDIubBbGSe: 1117532613 points, rank 170187
Team uqcbBb: 2990971034 points, rank 5609
Team uUpuZXspxu: 3222135084 points, rank 3137
Team GaxZzMHghacE: 1445446297 points, rank 122083
Team cRmxvdlZksZZ: 1153119002 points, rank 165049
Team yctwWbQRyno: 457492273 points, rank 266638
Team ZAwtutLc: 1679066077 points, rank 88682
Team qALlRSyzovFqM: 164494305 points, rank 307019
Team gQDxztGCY: 1160114574 points, rank 164050
Team itLdtj: 372218370 points, rank 278567
Team tpsQcGQMqsK: 319383722 points, rank 285856
Team OmMEhDMOuMB: 1113524052 points, rank 170803
Team BaeZgITSM: 1629817668 points, rank 95607
Team iayOScRP: 699716427 points, rank 231953
Team YOiHBBEbDJFr: 1540203307 points, rank 108379
Team EGYWBmbTkdQTUgRlI: 913055453 points, rank 200618
Team IBrrJhUBnULCYbr: 1512940807 points, rank 112353
Team atrpKZM: 1637295743 points, rank 94546
Team dijpnNivEFYZl: 579071326 points, rank 249457
Team xOwJBzxWvWJ: 1389336402 points, rank 130283
Team BPwuUAzijrcxiGsWBCb: 954215556 points, rank 194553
Team WNdjtxovgsSHXUVeTTuR: 221931635 points, rank 299405
Team qvqnjFiqpbY: 1890388027 points, rank 59476
Team oZwdcAamkmMlGgPs: 928696644 points, rank 198338
Team MKgxotekQQACSM: 2027929568 points, rank 40950
Team UNxHALc: 2078602322 points, rank 34242
Team BhbJTcsJVQsmCQsAk: 518552445 points, rank 258160
Team EMPEUFqykPkBwrUdQKp: 1309474562 points, rank 142056
Team NceBWIdmCJQIlRkDfN: 575727852 points, rank 249984
Team PGfMblxeQORCsfh: 1729836364 points, rank 81685
Team AcfcAYMbVTfgbxc: 2065952620 points, rank 35905
Team sYsssAGcfCGoteISFPIO: 1133813863 points, rank 167952
Team aMDsWLGGszAoWwTCf: 660040449 points, rank 237818
Team SrwjgmQcqFKF: 1591077381 points, rank 101195
Team WUkgnfSsWYebL: 947815877 points, rank 195528
Team hrusPBGksINZgq is ELIMINATED
Team uqTXUjCOivc: 757588652 points, rank 223565
Team zHUCbuTGMNGizlD: 430839538 points, rank 270495
Team TkHTdJDmFn: 224185703 points, rank 299184
Team ppPtHxcNRbWZR: 1534771983 points, rank 109230
Team RNeRbdwe: 838190720 points, rank 211790
Team SPktlMXrykrvnHIQALiI: 122141274 points, rank 312919
Team sAxNVIpikdzOY: 753951249 points, rank 224133
Team xVkeSJzhMmaaZlWpMj: 2081913395 points, rank 33792
Team dkufHUgzv: 1961873934 points, rank 49737
Team WKPLqDzXSYWRdPytZ: 1317814266 points, rank 140869
Team IxTaSYtXnrOK: 1792688617 points, rank 72941
Team mxBUZUF: 30383244 points, rank 325127
Team oKgeTXp: 2111207242 points, rank 30053
Team yIpctCAP is ELIMINATED
Team GkNxsxrYjSZDLdIlep is ELIMINATED
Team mOpMsmJtSwBSiQw: 1630488135 points, rank 95556
Team WPHHwb: 1775575985 points, rank 75360
Team pZZTagDqaeJxpDagxZw: 3834449554 points, rank 259
Team kZAgHlDEtTCugoD: 2109643791 points, rank 30255
Team UYtVH is ELIMINATED
Team lHWNlRpkNRkgWWEUysG: 948159238 points, rank 195520
Team uwPgvpXsDM: 729895576 points, rank 227679
Team dPGueCuoABXJx: 609085953 points, rank 245293
Team iihfpKk: 685950444 points, rank 234088
Team LAuMmsHzActx: 618812808 points, rank 243890
Team LNaZEKsTKrdwSZBWkBwS: 232491902 points, rank 298148
Team tABAHmdVemNiJX: 1499239268 points, rank 114423
Team KydBeN: 910211462 points, rank 201162
Team USLjbpAE is ELIMINATED
Team ELPgVIZsRyXUcDUqsZ: 491098 points, rank 329178
Team QvhrTwsjzfl: 1160465722 points, rank 164123
Team GriGwSXBdHynePQEvFSG: 1328296325 points, rank 139387
Team xQmEwebWZ: 538842549 points, rank 255378
Team kxJJPwFZFfP is ELIMINATED
Team jJgkopLNla is ELIMINATED
Team TADAkAzSNoqJWrK is ELIMINATED
Team TMrrIKcyHAnEglR is ELIMINATED
Team KfmfiobALfzXpWRd: 965139480 points, rank 193050
Team suORLyWz: 1728560751 points, rank 81914
Team ODkDYYIFhIITtuPoD: 457601788 points, rank 266874
Team ljHrVMXzmiFd: 464795831 points, rank 265868
Team kVsCIkEQUdaI is ELIMINATED
Team XOtUneGGULIq: 911314801 points, rank 201043
Team ZGtJJMKJgZol: 1632441743 points, rank 95322
Team cyFEDdBUstiu: 196006906 points, rank 303108
Team VRxRGMLTnXwNLpGsl: 1959428479 points, rank 50075
Team sUUIwVOXqgR: 2119236223 points, rank 28961
Team oMyAc: 791050530 points, rank 218753
